Dt_Pedido,Dt_Emissao,Dt_Entrega,Mes_Base,Ano_Exec,CO_Fabrica,CO_Cliente,Incoterm,Veiculo,Qtd_pallets,Qtd_Transp,Moeda,Vlr_Frete
12/01/23,17/01/23,21/01/23,1,2023,3403208,2342,CIF,P12,12,1500,BRL,2123.277

13/01/23,21/01/23,26/01/23,1,2023,3403208,2342,CIF,P12,12,1500,BRL,2123.277

16/01/23,31/01/23,05/02/23,1,2023,3403208,2342,CIF,P12,12,1500,BRL,2123.277

11/01/23,20/01/23,24/01/23,1,2023,3403208,2342,CIF,P12,12,1800,BRL,2137.837

19/01/23,22/01/23,26/01/23,1,2023,3403208,2342,CIF,P12,12,1800,BRL,2137.837

31/12/22,10/01/23,15/01/23,1,2023,3403208,2342,CIF,P24,24,3000,BRL,2892.11

19/01/23,24/01/23,26/01/23,1,2023,3403208,2342,CIF,P24,24,3000,BRL,2892.11

12/01/23,19/01/23,22/01/23,1,2023,3403208,2342,CIF,P24,24,2400,BRL,2295.774

12/01/23,22/01/23,26/01/23,1,2023,3403208,2342,CIF,P24,24,2400,BRL,2295.774

15/01/23,23/01/23,28/01/23,1,2023,3403208,2342,CIF,P24,24,2400,BRL,2295.774

12/01/23,27/01/23,31/01/23,1,2023,3403208,2342,CIF,P24,24,2400,BRL,2295.774

24/12/22,08/01/23,12/01/23,1,2023,3403208,2342,CIF,P24,24,3600,BRL,2620.189

09/01/23,17/01/23,22/01/23,1,2023,3403208,2342,CIF,P24,24,3600,BRL,2620.189

22/01/23,26/01/23,29/01/23,1,2023,3403208,2342,CIF,P24,24,3600,BRL,2620.189

19/01/23,29/01/23,02/02/23,1,2023,3403208,2342,CIF,P24,24,3600,BRL,2620.189

07/01/23,15/01/23,18/01/23,1,2023,3403208,2342,FOB,P12,12,1500,BRL,0
26/12/22,06/01/23,11/01/23,1,2023,3403208,2318,CIF,P12,12,1500,BRL,1986.088

01/01/23,07/01/23,10/01/23,1,2023,3403208,2318,CIF,P12,12,1500,BRL,1986.088

31/12/22,10/01/23,14/01/23,1,2023,3403208,2318,CIF,P12,12,1500,BRL,1986.088

11/01/23,15/01/23,18/01/23,1,2023,3403208,2318,CIF,P12,12,1500,BRL,1986.088

11/01/23,18/01/23,22/01/23,1,2023,3403208,2318,CIF,P12,12,1500,BRL,1986.088

04/01/23,19/01/23,23/01/23,1,2023,3403208,2318,CIF,P12,12,1500,BRL,1986.088

08/01/23,21/01/23,24/01/23,1,2023,3403208,2318,CIF,P12,12,1500,BRL,1986.088

17/01/23,24/01/23,29/01/23,1,2023,3403208,2318,CIF,P12,12,1500,BRL,1986.088

14/01/23,28/01/23,02/02/23,1,2023,3403208,2318,CIF,P12,12,1500,BRL,1986.088

22/12/22,06/01/23,10/01/23,1,2023,3403208,2318,CIF,P12,12,1800,BRL,2104.96

31/12/22,14/01/23,18/01/23,1,2023,3403208,2318,CIF,P12,12,1800,BRL,2104.96

15/01/23,26/01/23,28/01/23,1,2023,3403208,2318,CIF,P12,12,1800,BRL,2104.96

30/12/22,06/01/23,10/01/23,1,2023,3403208,2318,CIF,P24,24,3000,BRL,2847.637

04/01/23,07/01/23,12/01/23,1,2023,3403208,2318,CIF,P24,24,3000,BRL,2847.637

